                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.67479,                0.58894,                 1.0574,                0.92295,                0.84864,                0.89472,                0.70304,                 1.0193,                0.77484,                  1.298,             0.00010882,             0.00010882,             0.00010882
                     71,                0.67264,                0.58018,                 1.0459,                0.84764,                0.88457,                0.89553,                0.69606,                 1.0206,                 0.7657,                 1.2912,             0.00010553,             0.00010553,             0.00010553
                     72,                0.64316,                0.54464,                   1.03,                0.93006,                0.82641,                0.89712,                0.70006,                  1.013,                0.75299,                  1.281,             0.00010223,             0.00010223,             0.00010223
                     73,                0.65483,                0.60699,                  1.037,                0.90253,                0.84349,                0.88392,                0.70297,                 1.0169,                0.76282,                  1.286,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.68574,                 0.5758,                 1.0799,                0.92566,                0.86022,                0.89845,                0.69838,                 1.0307,                0.75447,                 1.3117,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.64721,                 0.5484,                 1.0271,                0.89182,                0.86396,                0.89713,                0.70632,                 1.0223,                0.75675,                 1.2971,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.65693,                0.55467,                  1.029,                0.90716,                0.85983,                0.89727,                0.71153,                 1.0067,                0.73592,                 1.2855,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.67244,                  0.583,                 1.0454,                0.92999,                 0.8336,                0.89331,                0.71265,                 1.0098,                0.74691,                 1.2947,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.66382,                0.54674,                 1.0316,                0.90735,                0.84259,                0.88675,                0.70586,                 1.0136,                0.74867,                 1.2845,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.65309,                0.53429,                  1.034,                0.88763,                0.87306,                0.89578,                0.70587,                 1.0123,                0.73624,                 1.2843,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.62453,                0.51299,                 1.0199,                0.92695,                0.84221,                0.89218,                0.71019,                 1.0032,                0.75291,                 1.2816,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.64233,                0.53652,                 1.0158,                  0.935,                0.82049,                0.89207,                  0.715,                0.99245,                0.73778,                 1.2635,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.62744,                0.52514,                 1.0236,                0.89111,                0.86232,                0.89494,                0.71028,                 1.0133,                0.75124,                 1.2861,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                 0.6473,                0.55223,                 1.0269,                0.92237,                0.82407,                0.89407,                0.71198,                 1.0149,                0.76495,                 1.2903,             6.5967e-05,             6.5967e-05,             6.5967e-05
